Date,Description,Amount
03/19/2025,AplPay BURGER KING ICALGARY,10.97
03/19/2025,AplPay MSP 7145 VinoMinneapolis         MN,14.40
03/19/2025,AplPay PHIL AND SEBACALGARY,3.46
03/19/2025,BT*SOJO SPA CLUB    EDGEWATER           NJ,120.00
03/19/2025,WIFIONBOARD         CHICAGO             IL,6.00
03/19/2025,WIFIONBOARD         CHICAGO             IL,6.00
03/18/2025,AplPay CHEZ FRANCOISCANMORE,21.82
03/17/2025,AplPay SKILOUISE FOOLAKE LOUISE,9.64
03/17/2025,AplPay SKILOUISE FOOLAKE LOUISE,22.28
03/16/2025,AplPay SAFEWAY #8919CANMORE,46.00
03/16/2025,SKI LOUISE MTNOS ECOLAKE LOUISE,123.44
03/15/2025,AplPay DOWNTOWN SALLBANFF,4.96
03/15/2025,AplPay MOUNT NORQUAYBANFF,3.29
03/15/2025,AplPay MOUNT NORQUAYBANFF,22.48
03/14/2025,AplPay SUNSHINE VILLBANFF,64.27
03/14/2025,Interest Charge on Purchases,388.75
03/14/2025,MOUNT NORQUAY 210736BANFF,86.92
03/14/2025,PARK INDIGO - CAL RECALGARY,6.25
03/14/2025,THE GRIZZLY PAW PUB CANMORE,145.50
03/13/2025,ACCLAIM HOTEL       CALGARY,101.23
03/13/2025,AplPay PACINI RESTAUCALGARY,33.31
03/13/2025,AplPay SAFEWAY #8919CANMORE,187.69
03/13/2025,BANFF SUNSHINE E-COMBANFF,119.79
03/13/2025,WIFIONBOARD         CHICAGO             IL,4.95
03/12/2025,FOX RENT A CAR      (539)-777-0666      TX,473.16
03/12/2025,HOUSTONIAN HOTEL F&BHOUSTON             TX,32.06
03/12/2025,PILOT_00740 00740   BROOKSHIRE          TX,10.00
03/11/2025,AplPay SCSPACETRADERHOUSTON             TX,61.65
03/11/2025,AplPay TEXAS GRILL 4HOUSTON             TX,84.15
03/11/2025,SPACE CENTER HOUSTONHOUSTON             TX,89.90
03/11/2025,UNITED HEALTH ONE   INDIANAPOLIS        IN,179.91
03/10/2025,AplPay CVS PHARMACY HOUSTON             TX,19.01
03/10/2025,AplPay CVS PHARMACY HOUSTON             TX,32.46
03/09/2025,AplPay AUSTIN- HOUNDAustin              TX,12.68
03/08/2025,MOBILE PAYMENT - THANK YOU,-267.05
03/07/2025,AplPay TST* JO'S COFAUSTIN              TX,7.50
03/06/2025,AUSTIN THYROID & ENDAUSTIN              TX,75.00
03/05/2025,AplPay ROYAL BLUE GRAUSTIN              TX,25.04
03/04/2025,TX DPS DL OFFICE 000AUSTIN              TX,38.00
03/03/2025,AplPay MEOW WOLF DENDenver              CO,38.20
03/03/2025,TST* SNOOZE BALLPARKDENVER              CO,101.34
03/02/2025,AplPay HEARTH RINO  Denver              CO,9.07
03/02/2025,AplPay HEARTH RINO  Denver              CO,16.87
03/02/2025,AplPay IMPROPER CITYDENVER              CO,11.62
03/02/2025,AplPay TST* TRACKS NDENVER              CO,24.32
03/02/2025,ETT*AMLIDOWNTOWNRENTCHICAGO             IL,2831.90
03/02/2025,TST* YACHT CLUB 3006DENVER              CO,58.68
03/01/2025,AplPay HEARTH RINO  Denver              CO,21.90
03/01/2025,DEATH & COMPANY - DEDENVER              CO,322.69
02/26/2025,AplPay TST* ROSENBERDENVER              CO,24.32
02/25/2025,AplPay PY *HOPDODDY DENVER              CO,30.27
02/25/2025,AplPay TST* GREEN SEDENVER              CO,19.76
02/25/2025,WWW.SHEFI.ORG       NEW YORK            NY,20.00
02/24/2025,AplPay TST* GREEN SEDENVER              CO,31.62
02/23/2025,AplPay C1 CIBO EXPRENEWARK              NJ,12.62
02/23/2025,UNITED AIRLINES     HOUSTON             TX,59.00
02/22/2025,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,58.38
02/21/2025,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,9.37
02/21/2025,AplPay ERIE COFFEESHRutherford          NJ,26.12
02/21/2025,AplPay SHOPRITE LYNDLYNDHURST           NJ,11.36
02/21/2025,AplPay THE UPS STOREKENDALL PARK        NJ,11.97
02/20/2025,AplPay ERIE COFFEESHRutherford          NJ,27.67
02/20/2025,AplPay SUPER KING SAPALISADES PK        NJ,16.00
02/20/2025,AplPay SUPER KING SAPALISADES PK        NJ,91.64
02/19/2025,AplPay ERIE COFFEESHRutherford          NJ,17.50
02/19/2025,BAKER HEALTH 00-0804MOONACHIE           NJ,180.00
02/19/2025,UNITED AIRLINES     HOUSTON             TX,48.99
02/19/2025,UNITED AIRLINES     HOUSTON             TX,59.99
02/18/2025,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,19.49
02/18/2025,AplPay TARGET       CLIFTON             NJ,3.25
02/18/2025,AplPay TARGET       CLIFTON             NJ,11.60
02/18/2025,AplPay THE JUICE LIFWallington          NJ,16.78
02/15/2025,AplPay MAX BRENNER UNEW YORK            NY,88.36
02/15/2025,AplPay SP BIOHM     CLEVELAND           OH,432.00
02/15/2025,AplPay SP BLUEPRINT.LOS ANGELES         CA,920.00
02/15/2025,AplPay TST* BRASS NYNEW YORK            NY,6.54
02/15/2025,AplPay WHOLEFDS NOM NEW YORK            NY,84.38
02/14/2025,260 SAMPLE SALE - NONEW YORK            NY,518.70
02/14/2025,AplPay CVS/PHARMACY NEW YORK            NY,20.93
02/14/2025,AplPay NYC TAXI 1246LONG ISLAND C       NY,104.29
02/14/2025,AplPay SWATCH #301 0NEW YORK            NY,337.56
02/14/2025,AplPay TST* BRASS NYNEW YORK            NY,7.44
02/14/2025,AplPay TST* CRUMBLY NEW YORK            NY,5.25
02/14/2025,MELJO INC.          New York            NY,32.11
02/13/2025,GETT LONDON         London              GB,204.72
02/13/2025,TLF=FLOWERS BY CHUCKLYNDHURST           NJ,80.46
02/12/2025,AplPay SHOREDITCH FOhackney             GB,37.24
02/12/2025,AplPay ZETTLE *ATHENHACKNEY             GB,7.95
02/11/2025,AplPay TAXIWORLD*LONGLASGOW             GB,29.82
