Status,Date,Description,Debit,Credit
Cleared,12/31/2024,"MONEY FOR THE REST OF TUCSON AZ null XXXXXXXXXXXX1091",25.00,
Cleared,12/30/2024,"ONLINE PAYMENT, THANK YOU",,-832.00
Cleared,12/29/2024,"QUIP NYC INC. NEW YORK NY null XXXXXXXXXXXX0172",17.44,
Cleared,12/29/2024,"BANKLESS NEW YORK NY null XXXXXXXXXXXX1091",22.00,
Cleared,12/29/2024,"GOOGLE *Google One 650-253-0000 CA",2.99,
Cleared,12/29/2024,"NYTIMES* 8006984637 NY",23.00,
Cleared,12/28/2024,"OTT* DROPOUT LOS ANGELES CA null XXXXXXXXXXXX3312",4.99,
Cleared,12/28/2024,"PRX.ORG BRIGHTON MA null XXXXXXXXXXXX4702",7.67,
Cleared,12/28/2024,"GOOGLE *HEADSPACE INC 650-253-0000 CA",13.85,
Cleared,12/28/2024,"DONOTPAY PALO ALTO CA null XXXXXXXXXXXX1297",36.00,
Cleared,12/26/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",4.34,
Cleared,12/26/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",19.56,
Cleared,12/25/2024,"GRUBHUB*GHPLUS 8775851085 NY",10.79,
Cleared,12/23/2024,"CLAUDE.AI SUBSCRIPTION SAN FRANCISCO CA",21.78,
Cleared,12/23/2024,"Roku for Disney Electr 8162728107 DE null XXXXXXXXXXXX4263",15.99,
Cleared,12/23/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",2.99,
Cleared,12/23/2024,"PTC EZ PASS AUTO RE. HARRISBURG PA",60.00,
Cleared,12/22/2024,"WIX.COM 14156399034 CA",2.99,
Cleared,12/22/2024,"ZOOM.COM 888-799-9666 SAN JOSE CA null XXXXXXXXXXXX4757",16.37,
Cleared,12/21/2024,"CRYPTOALERTING NEWARK DE null XXXXXXXXXXXX1091",4.99,
Cleared,12/20/2024,"CEB/donationalerts.com Amsterdam NLD",10.30,
Cleared,12/20/2024,"FANSLY 4439834260 MD",8.00,
Cleared,12/20/2024,"FOREIGN TRANSACTION FEE",6.10,
Cleared,12/19/2024,"THE GROCERY LONDON GBR null XXXXXXXXXXXX1594",69.01,
Cleared,12/18/2024,"IMGNAI SHERIDAN WY null XXXXXXXXXXXX1091",6.90,
Cleared,12/18/2024,"GYROS LAB LONDON GBR null XXXXXXXXXXXX1594",19.09,
Cleared,12/15/2024,"KREA.AI SAN FRANCISCO CA null XXXXXXXXXXXX9030",15.00,
Cleared,12/15/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",13.05,
Cleared,12/14/2024,"PANERA SIP CLUB 606283 855-372-6372 NY null XXXXXXXXXXXX7786",13.06,
Cleared,12/12/2024,"ETT*MARKELINSURANCE LEHI UT null XXXXXXXXXXXX8745",18.68,
Cleared,12/10/2024,"EE LTD LONDON GBR null XXXXXXXXXXXX1594",6.39,
Cleared,12/09/2024,"Gyros Lab London GB London GBR null XXXXXXXXXXXX1594",9.61,
Cleared,12/08/2024,"Gyros Lab London GB London GBR null XXXXXXXXXXXX1594",14.10,
Cleared,12/08/2024,"OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA null XXXXXXXXXXXX1021",21.78,
Cleared,12/08/2024,"POKERGO SUBSCRIPTION LAS VEGAS NV null XXXXXXXXXXXX8311",29.99,
Cleared,12/06/2024,"Account Pro by AOL 8008276364 VA",7.61,
Cleared,12/06/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",20.68,
Cleared,12/06/2024,"AMC 9640 ONLINE LEAWOOD KS",24.95,
Cleared,12/05/2024,"WIX.COM 14156399034 CA",2.99,
Cleared,12/04/2024,"SUNDAYS INSURANCE WILMINGTON DE null XXXXXXXXXXXX1091",12.00,
Cleared,12/04/2024,"APPLE.COM/BILL CUPERTINO CA null XXXXXXXXXXXX1594",48.95,
Cleared,12/03/2024,"Spotify USA New York NY null XXXXXXXXXXXX8871",16.99,
Cleared,12/01/2024,"AGI*RENTERS/CONDO INS 800-370-1990 FL",12.50,
Cleared,12/01/2024,"MONEY FOR THE REST OF TUCSON AZ null XXXXXXXXXXXX1091",25.00,
Cleared,12/01/2024,"ABC*30835-NYSC NEW YORK NY",57.46,
Cleared,12/01/2024,"Google GSUITE_gmdao.or Dublin IRL",79.06,
Cleared,12/01/2024,"NYTIMES* 8006984637 NY",23.00,
Cleared,11/30/2024,"BANKLESS NEW YORK NY null XXXXXXXXXXXX1091",22.00,
Cleared,11/30/2024,"Downland Produce (mar Melksham GBR null XXXXXXXXXXXX1594",6.80,
Cleared,11/29/2024,"GOOGLE *Google One 650-253-0000 CA",2.99,
Cleared,11/28/2024,"OTT* DROPOUT LOS ANGELES CA null XXXXXXXXXXXX3312",4.99,
Cleared,11/28/2024,"PRX.ORG BRIGHTON MA null XXXXXXXXXXXX4702",7.67,
Cleared,11/28/2024,"GOOGLE *HEADSPACE INC 650-253-0000 CA",13.85,
Cleared,11/27/2024,"APPLE.COM/BILL 866-712-7753 CA null XXXXXXXXXXXX1594",10.86,
